protocol,nUavs,mobility,seed,simTime,pdr,pdr_source,totalGenerated,totalDelivered,flowMonitorDelivered,flowMonitorLost,avgDelay,throughput,avgAoI,ctrlOverhead,energyPerBit,brr,broadcasts,suppressed,totalEnergy,byzFraction,byzantineDrops,dataReceptions,duplicateReceptions,uniquePacketsSeen,rebroadcasts,rebroadcastSuppressions,redundancyRatio,savedRebroadcastRatio,broadcastPathLength,emergencyForwarded,emergencySuppressed,emergencyNonSuppressionRate,__source
astro,10,gm3d,3001,30,96.124,app,258,248,0,0,0.258065,22.6987,1037.14,76.0218,364.134,4488,4488,346,247.961,0,0,30941,28691,2250,2244,6,92.7281,0.266667,0.164439,190,0,100,ns-allinone-3.29/ns-3.29/results/corrected-baseline-campaign/astro_n10_gm3d_s3001/astro_n10_gm3d_s3001_bz0.csv
astro,10,gm3d,3002,30,95.6693,app,254,243,0,0,0.209877,21.4869,1079.73,76.8934,384.647,4494,4494,339,247.947,0,0,31118,28868,2250,2247,3,92.7695,0.133333,0.147308,190,0,100,ns-allinone-3.29/ns-3.29/results/corrected-baseline-campaign/astro_n10_gm3d_s3002/astro_n10_gm3d_s3002_bz0.csv
astro,10,gm3d,3003,30,96.5753,app,292,282,0,0,0.0921986,24.8491,909.68,74.3746,332.895,5012,5012,337,248.164,0,0,32980,30470,2510,2506,4,92.3893,0.159363,0.146049,260,0,100,ns-allinone-3.29/ns-3.29/results/corrected-baseline-campaign/astro_n10_gm3d_s3003/astro_n10_gm3d_s3003_bz0.csv
astro,10,gm3d,3004,30,96.2712,app,295,284,0,0,0.176056,23.5861,907.876,74.9758,350.676,5030,5030,351,248.133,0,0,33577,31057,2520,2515,5,92.4949,0.198413,0.159841,250,0,100,ns-allinone-3.29/ns-3.29/results/corrected-baseline-campaign/astro_n10_gm3d_s3004/astro_n10_gm3d_s3004_bz0.csv
astro,10,gm3d,3005,30,95.5224,app,268,256,0,0,0.160156,22.5621,1008.21,75.863,366.407,4626,4626,342,248.008,0,0,31620,29299,2321,2313,8,92.6597,0.344679,0.188067,260,0,100,ns-allinone-3.29/ns-3.29/results/corrected-baseline-campaign/astro_n10_gm3d_s3005/astro_n10_gm3d_s3005_bz0.csv
astro,10,rpgm,3001,30,95.3571,app,280,267,0,0,0.318352,22.2379,995.179,76.2345,371.767,4764,4764,361,248.019,0,0,32379,29969,2410,2382,28,92.5569,1.16183,0.108312,350,0,100,ns-allinone-3.29/ns-3.29/results/corrected-baseline-campaign/astro_n10_rpgm_s3001/astro_n10_rpgm_s3001_bz0.csv
astro,10,rpgm,3002,30,94.822,app,309,293,0,0,0.208191,23.9787,890.707,74.4763,345.011,5154,5154,352,248.187,0,0,33886,31293,2593,2577,16,92.3479,0.617046,0.138921,400,0,100,ns-allinone-3.29/ns-3.29/results/corrected-baseline-campaign/astro_n10_rpgm_s3002/astro_n10_rpgm_s3002_bz0.csv
astro,10,rpgm,3003,30,95.8188,app,287,275,0,0,0.207273,23.4667,943.894,75.0145,352.485,4844,4844,350,248.149,0,0,33204,30764,2440,2422,18,92.6515,0.737705,0.144509,270,0,100,ns-allinone-3.29/ns-3.29/results/corrected-baseline-campaign/astro_n10_rpgm_s3003/astro_n10_rpgm_s3003_bz0.csv
astro,10,rpgm,3004,30,96,app,300,288,0,0,0.1875,25.5488,872.547,73.5961,323.912,5164,5164,372,248.267,0,0,34283,31663,2620,2582,38,92.3577,1.45038,0.135167,280,0,100,ns-allinone-3.29/ns-3.29/results/corrected-baseline-campaign/astro_n10_rpgm_s3004/astro_n10_rpgm_s3004_bz0.csv
astro,10,rpgm,3005,30,96.1404,app,285,274,0,0,0.273723,22.2549,935.409,76.1413,371.643,5038,5038,363,248.127,0,0,33680,31140,2540,2519,21,92.4584,0.826772,0.129019,270,0,100,ns-allinone-3.29/ns-3.29/results/corrected-baseline-campaign/astro_n10_rpgm_s3005/astro_n10_rpgm_s3005_bz0.csv
astro,20,gm3d,3001,30,94.614,app,557,527,0,0,0.817837,45.568,989.578,75.3973,366.731,20366,20366,670,501.336,0,0,154192,143991,10201,10183,18,93.3842,0.176453,0.161249,900,0,100,ns-allinone-3.29/ns-3.29/results/corrected-baseline-campaign/astro_n20_gm3d_s3001/astro_n20_gm3d_s3001_bz0.csv
astro,20,gm3d,3002,30,94.3715,app,533,503,0,0,0.705765,42.2571,1025.35,76.8324,395.388,19418,19418,653,501.239,0,0,157372,147648,9724,9709,15,93.821,0.154258,0.150479,980,0,100,ns-allinone-3.29/ns-3.29/results/corrected-baseline-campaign/astro_n20_gm3d_s3002/astro_n20_gm3d_s3002_bz0.csv
astro,20,gm3d,3003,30,93.5428,app,573,536,0,0,0.80597,47.36,968.198,74.5591,353.043,20322,20322,663,501.604,0,0,156623,146439,10184,10161,23,93.4978,0.225844,0.124889,900,0,100,ns-allinone-3.29/ns-3.29/results/corrected-baseline-campaign/astro_n20_gm3d_s3003/astro_n20_gm3d_s3003_bz0.csv
astro,20,gm3d,3004,30,95.4939,app,577,551,0,0,0.667877,45.2437,931.405,75.8301,369.574,20810,20810,654,501.627,0,0,163646,153226,10420,10405,15,93.6326,0.143954,0.136377,1040,0,100,ns-allinone-3.29/ns-3.29/results/corrected-baseline-campaign/astro_n20_gm3d_s3004/astro_n20_gm3d_s3004_bz0.csv
astro,20,gm3d,3005,30,93.9623,app,530,498,0,0,1.01807,43.7248,1055.78,76.2612,382.06,18812,18812,667,501.164,0,0,151247,141821,9426,9406,20,93.7678,0.212179,0.13417,940,0,100,ns-allinone-3.29/ns-3.29/results/corrected-baseline-campaign/astro_n20_gm3d_s3005/astro_n20_gm3d_s3005_bz0.csv
astro,20,rpgm,3001,30,94.5133,app,565,534,0,0,0.940075,44.0661,974.344,76.3413,378.934,20202,20202,678,500.945,0,0,150397,140253,10144,10101,43,93.2552,0.423896,0.148995,1200,0,100,ns-allinone-3.29/ns-3.29/results/corrected-baseline-campaign/astro_n20_rpgm_s3001/astro_n20_rpgm_s3001_bz0.csv
astro,20,rpgm,3002,30,94.941,app,593,563,0,0,0.936057,49.5787,914.363,74.1406,337.616,21438,21438,700,502.156,0,0,162872,152092,10780,10719,61,93.3813,0.565863,0.135554,1200,0,100,ns-allinone-3.29/ns-3.29/results/corrected-baseline-campaign/astro_n20_rpgm_s3002/astro_n20_rpgm_s3002_bz0.csv
astro,20,rpgm,3003,30,93.7716,app,578,542,0,0,0.961255,47.8549,955.546,74.8021,349.656,20790,20790,677,501.982,0,0,159248,148804,10444,10395,49,93.4417,0.469169,0.0901395,1120,0,100,ns-allinone-3.29/ns-3.29/results/corrected-baseline-campaign/astro_n20_rpgm_s3003/astro_n20_rpgm_s3003_bz0.csv
astro,20,rpgm,3004,30,95.3688,app,583,556,0,0,1.07554,48.6912,939.78,74.3429,343.588,21244,21244,677,501.892,0,0,159067,148403,10664,10622,42,93.2959,0.393848,0.143382,1040,0,100,ns-allinone-3.29/ns-3.29/results/corrected-baseline-campaign/astro_n20_rpgm_s3004/astro_n20_rpgm_s3004_bz0.csv
astro,20,rpgm,3005,30,94.3686,app,586,553,0,0,0.949367,47.4624,946.368,74.6996,352.406,20838,20838,689,501.781,0,0,159842,149374,10468,10419,49,93.451,0.468093,0.115558,1400,0,100,ns-allinone-3.29/ns-3.29/results/corrected-baseline-campaign/astro_n20_rpgm_s3005/astro_n20_rpgm_s3005_bz0.csv
