protocol,nUavs,mobility,byzFraction,nRuns,seeds,pdr_mean,pdr_sd,pdr_ci95,pdr_n,avgDelay_mean,avgDelay_sd,avgDelay_ci95,avgDelay_n,throughput_mean,throughput_sd,throughput_ci95,throughput_n,avgAoI_mean,avgAoI_sd,avgAoI_ci95,avgAoI_n,ctrlOverhead_mean,ctrlOverhead_sd,ctrlOverhead_ci95,ctrlOverhead_n,energyPerBit_mean,energyPerBit_sd,energyPerBit_ci95,energyPerBit_n,brr_mean,brr_sd,brr_ci95,brr_n,broadcasts_mean,broadcasts_sd,broadcasts_ci95,broadcasts_n,suppressed_mean,suppressed_sd,suppressed_ci95,suppressed_n,totalEnergy_mean,totalEnergy_sd,totalEnergy_ci95,totalEnergy_n,byzantineDrops_mean,byzantineDrops_sd,byzantineDrops_ci95,byzantineDrops_n,redundancyRatio_mean,redundancyRatio_sd,redundancyRatio_ci95,redundancyRatio_n,savedRebroadcastRatio_mean,savedRebroadcastRatio_sd,savedRebroadcastRatio_ci95,savedRebroadcastRatio_n,broadcastPathLength_mean,broadcastPathLength_sd,broadcastPathLength_ci95,broadcastPathLength_n,emergencyNonSuppressionRate_mean,emergencyNonSuppressionRate_sd,emergencyNonSuppressionRate_ci95,emergencyNonSuppressionRate_n,dataReceptions_mean,dataReceptions_sd,dataReceptions_ci95,dataReceptions_n,duplicateReceptions_mean,duplicateReceptions_sd,duplicateReceptions_ci95,duplicateReceptions_n,rebroadcasts_mean,rebroadcasts_sd,rebroadcasts_ci95,rebroadcasts_n,rebroadcastSuppressions_mean,rebroadcastSuppressions_sd,rebroadcastSuppressions_ci95,rebroadcastSuppressions_n
astro,10,gm3d,0,5,3001;3002;3003;3004;3005,96.032440,0.433618,0.538321,5,0.179271,0.061446,0.076283,5,23.036580,1.257776,1.561485,5,988.527200,77.120141,95.741951,5,75.625720,0.975691,1.211286,5,359.751800,19.280328,23.935851,5,4730.000000,271.385335,336.915379,5,4730.000000,271.385335,336.915379,5,343.000000,5.612486,6.967705,5,248.042600,0.099881,0.123999,5,0.000000,0.000000,0.000000,5,92.608300,0.161090,0.199988,5,0.220491,0.085696,0.106389,5,0.161141,0.017005,0.021111,5,100.000000,0.000000,0.000000,5,32047.200000,1170.469436,1453.096769,5,29677.000000,1037.160788,1287.598756,5,2365.000000,135.692667,168.457689,5,5.200000,1.923538,2.388005,5
astro,10,rpgm,0,5,3001;3002;3003;3004;3005,95.627660,0.538601,0.668654,5,0.239008,0.055024,0.068310,5,23.497400,1.375771,1.707971,5,927.547200,48.180153,59.813970,5,75.092540,1.121288,1.392039,5,352.963600,20.062130,24.906431,5,4992.800000,181.541180,225.377010,5,4992.800000,181.541180,225.377010,5,359.600000,8.905055,11.055313,5,248.149800,0.090483,0.112332,5,0.000000,0.000000,0.000000,5,92.474480,0.130430,0.161924,5,0.958747,0.341314,0.423730,5,0.131186,0.013974,0.017348,5,100.000000,0.000000,0.000000,5,33486.400000,731.063814,907.590095,5,30965.800000,643.783116,799.234168,5,2496.400000,90.770590,112.688505,5,24.200000,8.955445,11.117871,5
astro,20,gm3d,0,5,3001;3002;3003;3004;3005,94.396900,0.736470,0.914301,5,0.803104,0.136196,0.169082,5,44.830720,1.933777,2.400716,5,994.062200,48.484541,60.191858,5,75.776020,0.862929,1.071296,5,373.359200,16.062228,19.940693,5,19945.600000,810.711293,1006.469647,5,19945.600000,810.711293,1006.469647,5,661.400000,7.635444,9.479136,5,501.394000,0.211352,0.262386,5,0.000000,0.000000,0.000000,5,93.620680,0.182302,0.226322,5,0.182538,0.035635,0.044240,5,0.141433,0.014375,0.017846,5,100.000000,0.000000,0.000000,5,156616.000000,4601.478621,5712.574385,5,146625.000000,4320.610431,5363.886375,5,9972.800000,405.355646,503.234824,5,18.200000,3.420526,4.246463,5
astro,20,rpgm,0,5,3001;3002;3003;3004;3005,94.592660,0.602987,0.748588,5,0.972459,0.058434,0.072544,5,47.530660,2.100850,2.608132,5,946.080200,21.989770,27.299528,5,74.865300,0.867196,1.076594,5,352.440000,15.872876,19.705619,5,20902.400000,477.205197,592.433522,5,20902.400000,477.205197,592.433522,5,684.200000,10.183320,12.642234,5,501.751200,0.471116,0.584875,5,0.000000,0.000000,0.000000,5,93.365020,0.087143,0.108185,5,0.464174,0.065094,0.080812,5,0.126726,0.024055,0.029863,5,100.000000,0.000000,0.000000,5,158285.200000,4669.696318,5797.264264,5,147785.200000,4450.462864,5525.093617,5,10451.200000,238.602598,296.216761,5,48.800000,7.563068,9.389284,5
cb,10,gm3d,0,5,3001;3002;3003;3004;3005,96.464540,0.434711,0.539679,5,0.056049,0.029575,0.036717,5,23.186780,1.250252,1.552144,5,983.995800,77.869714,96.672520,5,75.625720,0.975691,1.211286,5,356.476600,19.010679,23.601091,5,1292.000000,94.308006,117.080083,5,1292.000000,94.308006,117.080083,5,2073.800000,97.855506,121.484180,5,247.396400,0.055864,0.069353,5,0.000000,0.000000,0.000000,5,90.186820,0.346952,0.430729,5,72.891580,0.737013,0.914976,5,0.291596,0.016683,0.020711,5,24.490360,1.408245,1.748287,5,24258.000000,585.440432,726.803772,5,21876.000000,450.000556,558.659913,5,646.000000,47.154003,58.540042,5,1736.000000,97.254820,120.738449,5
cb,10,rpgm,0,5,3001;3002;3003;3004;3005,96.573200,0.137850,0.171135,5,0.047042,0.022417,0.027830,5,23.726080,1.515160,1.881018,5,918.178400,49.067637,60.915751,5,75.092540,1.121288,1.392039,5,348.743000,21.904699,27.193916,5,1364.800000,58.388355,72.487096,5,1364.800000,58.388355,72.487096,5,2191.000000,74.246212,92.174069,5,247.433200,0.052323,0.064957,5,0.000000,0.000000,0.000000,5,89.801080,0.206452,0.256303,5,73.111420,0.620662,0.770530,5,0.266580,0.023563,0.029253,5,24.475920,0.965257,1.198333,5,24878.000000,438.404494,544.263809,5,22340.000000,343.567315,426.526777,5,682.400000,29.194178,36.243548,5,1855.600000,72.320813,89.783754,5
cb,20,gm3d,0,5,3001;3002;3003;3004;3005,96.135060,0.082855,0.102861,5,0.151358,0.038511,0.047809,5,45.783040,2.142942,2.660388,5,976.719000,44.489587,55.232262,5,75.776020,0.862929,1.071296,5,363.416200,16.818136,20.879126,5,4414.000000,199.714797,247.938918,5,4414.000000,199.714797,247.938918,5,8592.200000,305.669266,379.477677,5,498.285000,0.183428,0.227720,5,0.000000,0.000000,0.000000,5,90.424000,0.461930,0.573471,5,78.269420,0.491348,0.609992,5,0.126115,0.020011,0.024843,5,16.922560,2.454230,3.046840,5,106126.600000,3014.016556,3741.795886,5,95970.600000,3033.061127,3765.439053,5,2207.000000,99.857398,123.969459,5,7949.000000,307.052927,381.195444,5
cb,20,rpgm,0,5,3001;3002;3003;3004;3005,96.245700,0.190342,0.236303,5,0.190838,0.027441,0.034067,5,48.343040,2.247534,2.790235,5,930.759800,19.516612,24.229190,5,74.865300,0.867196,1.076594,5,344.221400,16.524508,20.514597,5,4680.800000,125.837991,156.223454,5,4680.800000,125.837991,156.223454,5,8951.000000,175.569075,217.962851,5,498.330600,0.400592,0.497321,5,0.000000,0.000000,0.000000,5,89.823500,0.265785,0.329962,5,78.036840,0.379171,0.470728,5,0.130169,0.012275,0.015239,5,16.737180,1.103243,1.369638,5,104799.200000,4428.838753,5498.248042,5,94143.200000,4232.651734,5254.688735,5,2340.400000,62.918996,78.111727,5,8315.600000,174.656234,216.829591,5
pr,10,gm3d,0,5,3001;3002;3003;3004;3005,96.171300,0.514673,0.638948,5,0.095079,0.039891,0.049524,5,23.125320,1.295620,1.608467,5,987.129800,78.348553,97.266982,5,75.625720,0.975691,1.211286,5,357.985400,19.866465,24.663520,5,2810.400000,190.847583,236.930584,5,2810.400000,190.847583,236.930584,5,1306.600000,60.268566,74.821311,5,247.739000,0.072357,0.089828,5,0.000000,0.000000,0.000000,5,91.582960,0.246892,0.306508,5,40.823040,1.417384,1.759632,5,0.155683,0.016435,0.020404,5,58.906940,2.372728,2.945659,5,28185.600000,830.368472,1030.873347,5,25811.600000,692.095586,859.212406,5,1405.200000,95.423792,118.465292,5,968.800000,59.692546,74.106203,5
pr,10,rpgm,0,5,3001;3002;3003;3004;3005,96.160800,0.241421,0.299716,5,0.124325,0.024064,0.029875,5,23.599800,1.498278,1.860060,5,922.287800,49.748457,61.760965,5,75.092540,1.121288,1.392039,5,351.109800,21.838866,27.112186,5,2997.600000,174.621877,216.786939,5,2997.600000,174.621877,216.786939,5,1368.800000,14.956604,18.568099,5,247.798800,0.073500,0.091247,5,0.000000,0.000000,0.000000,5,91.339800,0.178399,0.221476,5,40.846260,1.321485,1.640577,5,0.138214,0.014869,0.018460,5,59.097620,1.874287,2.326862,5,29232.400000,571.086071,708.983335,5,26700.200000,483.864340,600.700615,5,1498.800000,87.310939,108.393469,5,1033.400000,16.471187,20.448401,5
