protocol,nUavs,mobility,seed,simTime,pdr,pdr_source,totalGenerated,totalDelivered,flowMonitorDelivered,flowMonitorLost,avgDelay,throughput,avgAoI,ctrlOverhead,energyPerBit,brr,broadcasts,suppressed,totalEnergy,byzFraction,byzantineDrops,dataReceptions,duplicateReceptions,uniquePacketsSeen,rebroadcasts,rebroadcastSuppressions,redundancyRatio,savedRebroadcastRatio,broadcastPathLength,emergencyForwarded,emergencySuppressed,emergencyNonSuppressionRate,__source
astro,20,gm3d,3001,30,95.6679,app,554,530,0,0,0.926415,45.7899,981.273,75.6196,364.77,19028,19028,668,501.084,0.1,510,149512,139472,10040,9514,16,93.2848,0.167891,0.15062,764,0,100,ns-allinone-3.29/ns-3.29/results/corrected-security-campaign/astro_n20_gm3d_s3001_bz0.1/astro_n20_gm3d_s3001_bz10.csv
astro,20,gm3d,3001,30,94.2308,app,572,539,0,0,0.71243,45.8752,968.763,75.1438,364.131,18490,18490,666,501.137,0.2,1042,151307,141006,10301,9245,14,93.192,0.151204,0.151217,1078,0,100,ns-allinone-3.29/ns-3.29/results/corrected-security-campaign/astro_n20_gm3d_s3001_bz0.2/astro_n20_gm3d_s3001_bz20.csv
astro,20,gm3d,3002,30,95.3668,app,518,494,0,0,0.649798,41.1307,1057.09,77.5224,405.919,18158,18158,653,500.871,0.1,486,152762,143182,9580,9079,15,93.7288,0.164944,0.174138,1064,0,100,ns-allinone-3.29/ns-3.29/results/corrected-security-campaign/astro_n20_gm3d_s3002_bz0.1/astro_n20_gm3d_s3002_bz10.csv
astro,20,gm3d,3002,30,94.8122,app,559,530,0,0,0.686792,45.2437,985.531,75.7773,369.196,17916,17916,653,501.114,0.2,987,152830,142870,9960,8958,15,93.483,0.167168,0.16756,813,0,100,ns-allinone-3.29/ns-3.29/results/corrected-security-campaign/astro_n20_gm3d_s3002_bz0.2/astro_n20_gm3d_s3002_bz20.csv
astro,20,gm3d,3003,30,94.1681,app,583,549,0,0,0.947177,46.9845,932.068,75.021,355.845,19954,19954,663,501.576,0.1,541,159535,148994,10541,9977,23,93.3927,0.23,0.121479,933,0,100,ns-allinone-3.29/ns-3.29/results/corrected-security-campaign/astro_n20_gm3d_s3003_bz0.1/astro_n20_gm3d_s3003_bz10.csv
astro,20,gm3d,3003,30,95.0549,app,546,519,0,0,0.691715,44.4245,995.683,76.2345,375.963,17462,17462,657,501.06,0.2,972,150493,140773,9720,8731,17,93.5412,0.19433,0.117627,751,0,100,ns-allinone-3.29/ns-3.29/results/corrected-security-campaign/astro_n20_gm3d_s3003_bz0.2/astro_n20_gm3d_s3003_bz20.csv
astro,20,gm3d,3004,30,95.1134,app,573,545,0,0,0.717431,45.2779,950.543,75.659,369.192,19354,19354,649,501.487,0.1,494,158593,148412,10181,9677,10,93.5804,0.103231,0.156763,818,0,100,ns-allinone-3.29/ns-3.29/results/corrected-security-campaign/astro_n20_gm3d_s3004_bz0.1/astro_n20_gm3d_s3004_bz10.csv
astro,20,gm3d,3004,30,94.6367,app,578,547,0,0,0.904936,46.0629,948.501,75.3777,362.851,18910,18910,654,501.419,0.2,1011,157849,147368,10481,9455,15,93.3601,0.158395,0.15431,915,0,100,ns-allinone-3.29/ns-3.29/results/corrected-security-campaign/astro_n20_gm3d_s3004_bz0.2/astro_n20_gm3d_s3004_bz20.csv
astro,20,gm3d,3005,30,93.8406,app,552,518,0,0,1.2027,46.2848,1010.29,75.3907,361.185,18940,18940,669,501.521,0.1,492,153744,143760,9984,9470,22,93.5061,0.231774,0.157973,730,0,100,ns-allinone-3.29/ns-3.29/results/corrected-security-campaign/astro_n20_gm3d_s3005_bz0.1/astro_n20_gm3d_s3005_bz10.csv
astro,20,gm3d,3005,30,94.709,app,567,537,0,0,0.614525,45.9605,968.507,75.4168,363.562,18384,18384,670,501.285,0.2,1025,154752,144512,10240,9192,23,93.383,0.249593,0.134682,1012,0,100,ns-allinone-3.29/ns-3.29/results/corrected-security-campaign/astro_n20_gm3d_s3005_bz0.2/astro_n20_gm3d_s3005_bz20.csv
astro,20,rpgm,3001,30,95.0791,app,569,541,0,0,1.16636,47.3771,966.405,75.092,352.784,19678,19678,680,501.416,0.1,522,149763,139357,10406,9839,45,93.0517,0.455281,0.151641,945,0,100,ns-allinone-3.29/ns-3.29/results/corrected-security-campaign/astro_n20_rpgm_s3001_bz0.1/astro_n20_rpgm_s3001_bz10.csv
astro,20,rpgm,3001,30,94.708,app,548,519,0,0,0.822736,44.2539,979.218,76.1879,377.05,17484,17484,673,500.578,0.2,983,142378,132615,9763,8742,38,93.1429,0.432802,0.141043,1095,0,100,ns-allinone-3.29/ns-3.29/results/corrected-security-campaign/astro_n20_rpgm_s3001_bz0.2/astro_n20_rpgm_s3001_bz20.csv
astro,20,rpgm,3002,30,93.6953,app,571,535,0,0,1.08411,48.2475,966.462,74.3429,346.782,19720,19720,690,501.94,0.1,529,157748,147308,10440,9860,51,93.3818,0.51458,0.132759,1156,0,100,ns-allinone-3.29/ns-3.29/results/corrected-security-campaign/astro_n20_rpgm_s3002_bz0.1/astro_n20_rpgm_s3002_bz10.csv
astro,20,rpgm,3002,30,94.7099,app,586,555,0,0,0.958559,46.7968,939.736,75.1373,357.272,18946,18946,686,501.575,0.2,1083,156719,146116,10603,9473,47,93.2344,0.493697,0.128998,790,0,100,ns-allinone-3.29/ns-3.29/results/corrected-security-campaign/astro_n20_rpgm_s3002_bz0.2/astro_n20_rpgm_s3002_bz20.csv
astro,20,rpgm,3003,30,94.6037,app,593,561,0,0,0.905526,47.8208,924.51,74.8214,349.851,20414,20414,669,501.904,0.1,532,160184,149404,10780,10207,41,93.2702,0.400078,0.0988537,1180,0,100,ns-allinone-3.29/ns-3.29/results/corrected-security-campaign/astro_n20_rpgm_s3003_bz0.1/astro_n20_rpgm_s3003_bz10.csv
astro,20,rpgm,3003,30,94.5035,app,564,533,0,0,0.923077,44.544,963.462,76.0948,375.132,18348,18348,667,501.296,0.2,1049,153088,142826,10262,9174,39,93.2967,0.423315,0.11053,888,0,100,ns-allinone-3.29/ns-3.29/results/corrected-security-campaign/astro_n20_rpgm_s3003_bz0.2/astro_n20_rpgm_s3003_bz20.csv
astro,20,rpgm,3004,30,95.3448,app,580,553,0,0,1.01989,48.2987,937.253,74.5527,346.231,20152,20152,685,501.675,0.1,494,155254,144634,10620,10076,50,93.1596,0.493778,0.143708,1055,0,100,ns-allinone-3.29/ns-3.29/results/corrected-security-campaign/astro_n20_rpgm_s3004_bz0.1/astro_n20_rpgm_s3004_bz10.csv
astro,20,rpgm,3004,30,94.9153,app,531,504,0,0,0.910714,46.5237,1008.1,75.2346,358.95,17302,17302,685,500.991,0.2,939,142697,133057,9640,8651,50,93.2444,0.574647,0.15085,878,0,100,ns-allinone-3.29/ns-3.29/results/corrected-security-campaign/astro_n20_rpgm_s3004_bz0.2/astro_n20_rpgm_s3004_bz20.csv
astro,20,rpgm,3005,30,94.4631,app,596,563,0,0,0.865009,46.3531,930.18,75.1957,360.797,19864,19864,682,501.722,0.1,526,159916,149416,10500,9932,42,93.4341,0.421095,0.117096,1178,0,100,ns-allinone-3.29/ns-3.29/results/corrected-security-campaign/astro_n20_rpgm_s3005_bz0.1/astro_n20_rpgm_s3005_bz10.csv
