protocol,nUavs,mobility,seed,simTime,pdr,pdr_source,totalGenerated,totalDelivered,flowMonitorDelivered,flowMonitorLost,avgDelay,throughput,avgAoI,ctrlOverhead,energyPerBit,brr,broadcasts,suppressed,totalEnergy,byzFraction,dataReceptions,duplicateReceptions,uniquePacketsSeen,rebroadcasts,rebroadcastSuppressions,redundancyRatio,savedRebroadcastRatio,broadcastPathLength,emergencyForwarded,emergencySuppressed,emergencyNonSuppressionRate,__source
astro,60,gm3d,3001,30,28.7905,app,1761,507,0,0,1.01775,38.0075,1718.48,74.3979,1312.2,18366,18366,1825,1496.2,0,527857,518674,9183,9183,0,98.2603,0,0.210389,9183,0,100,ns-allinone-3.29/ns-3.29/results/security-suppression-pilot/astro_n60_gm3d_s3001_bz0.0/astro_n60_gm3d_s3001_bz0.csv
astro,60,gm3d,3001,30,26.8112,app,1753,470,0,0,0.878723,33.0069,1978.37,74.6868,1511.12,18650,18650,1825,1496.32,0.2,540116,529796,10320,9325,0,98.0893,0,0.209544,9325,0,100,ns-allinone-3.29/ns-3.29/results/security-suppression-pilot/astro_n60_gm3d_s3001_bz0.2/astro_n60_gm3d_s3001_bz20.csv
astro,60,rpgm,3001,30,24.1733,app,1754,424,0,0,7.57547,30.208,1877.46,74.5654,1655.63,18360,18360,1841,1500.4,0,600839,591659,9180,9180,0,98.4721,0,0.376035,9180,0,100,ns-allinone-3.29/ns-3.29/results/security-suppression-pilot/astro_n60_rpgm_s3001_bz0.0/astro_n60_rpgm_s3001_bz0.csv
astro,60,rpgm,3001,30,23.8318,app,1712,408,0,0,1.1299,28.6379,2206.26,75.2909,1746.33,15890,15890,1841,1500.33,0.2,594037,585212,8825,7945,0,98.5144,0,0.375079,7945,0,100,ns-allinone-3.29/ns-3.29/results/security-suppression-pilot/astro_n60_rpgm_s3001_bz0.2/astro_n60_rpgm_s3001_bz20.csv
cb,60,gm3d,3001,30,38.7848,app,1761,683,0,0,0.850659,55.04,1384.3,74.3979,905.734,2500,2500,9875,1495.55,0,467197,457897,9300,1250,8050,98.0094,86.5591,0.172,1250,8050,13.4409,ns-allinone-3.29/ns-3.29/results/security-suppression-pilot/cb_n60_gm3d_s3001_bz0.0/cb_n60_gm3d_s3001_bz0.csv
cb,60,gm3d,3001,30,49.258,app,1752,863,0,0,0.906141,69.376,1253.87,74.8578,719.108,2708,2708,10122,1496.66,0.2,473999,463319,10680,1354,8297,97.7468,85.9704,0.166174,1354,8297,14.0296,ns-allinone-3.29/ns-3.29/results/security-suppression-pilot/cb_n60_gm3d_s3001_bz0.2/cb_n60_gm3d_s3001_bz20.csv
cb,60,rpgm,3001,30,28.9624,app,1754,508,0,0,0.653543,38.4341,1540.12,74.5654,1300.63,2550,2550,9806,1499.66,0,538926,529686,9240,1275,7965,98.2855,86.2013,0.363137,1275,7965,13.7987,ns-allinone-3.29/ns-3.29/results/security-suppression-pilot/cb_n60_rpgm_s3001_bz0.0/cb_n60_rpgm_s3001_bz0.csv
cb,60,rpgm,3001,30,30.5714,app,1750,535,0,0,4.17196,38.6901,1619.9,74.7893,1292.29,2780,2780,9931,1499.97,0.2,545599,535097,10502,1390,8090,98.0751,85.3376,0.342446,1390,8090,14.6624,ns-allinone-3.29/ns-3.29/results/security-suppression-pilot/cb_n60_rpgm_s3001_bz0.2/cb_n60_rpgm_s3001_bz20.csv
pr,60,gm3d,3001,30,28.8472,app,1761,508,0,0,0.663386,40.5675,1606.65,74.3979,1229.27,11104,11104,5514,1496.05,0,517459,508218,9241,5552,3689,98.2142,39.9199,0.189841,5552,3689,60.0801,ns-allinone-3.29/ns-3.29/results/security-suppression-pilot/pr_n60_gm3d_s3001_bz0.0/pr_n60_gm3d_s3001_bz0.csv
pr,60,gm3d,3001,30,36.577,app,1747,639,0,0,0.917058,49.2544,1615.2,74.8599,1013.22,11630,11630,5659,1497.16,0.2,530498,519817,10681,5815,3834,97.9866,39.7347,0.21135,5815,3834,60.2653,ns-allinone-3.29/ns-3.29/results/security-suppression-pilot/pr_n60_gm3d_s3001_bz0.2/pr_n60_gm3d_s3001_bz20.csv
pr,60,rpgm,3001,30,23.0331,app,1754,404,0,0,0.549505,28.6379,1880,74.5654,1746.24,10950,10950,5489,1500.26,0,586864,577740,9124,5475,3649,98.4453,39.9934,0.331324,5475,3649,60.0066,ns-allinone-3.29/ns-3.29/results/security-suppression-pilot/pr_n60_rpgm_s3001_bz0.0/pr_n60_rpgm_s3001_bz0.csv
pr,60,rpgm,3001,30,32.5101,app,1741,566,0,0,0.699647,40.8576,1698.01,74.9264,1224.95,11464,11464,5653,1501.46,0.2,599072,588508,10564,5732,3812,98.2366,39.9413,0.290649,5732,3812,60.0587,ns-allinone-3.29/ns-3.29/results/security-suppression-pilot/pr_n60_rpgm_s3001_bz0.2/pr_n60_rpgm_s3001_bz20.csv
sba,60,gm3d,3001,30,60.9881,app,1761,1074,0,0,46.1844,90.88,1116.89,74.3979,551.21,18244,18244,1825,1502.82,0,611315,602193,9122,9122,0,98.5078,0,0.253672,9122,0,100,ns-allinone-3.29/ns-3.29/results/security-suppression-pilot/sba_n60_gm3d_s3001_bz0.0/sba_n60_gm3d_s3001_bz0.csv
sba,60,gm3d,3001,30,23.0462,app,1753,404,0,0,1.07426,27.7333,2230.45,74.6697,1802.69,17896,17896,1825,1499.83,0.2,625284,615377,9907,8948,0,98.4156,0,0.264864,8948,0,100,ns-allinone-3.29/ns-3.29/results/security-suppression-pilot/sba_n60_gm3d_s3001_bz0.2/sba_n60_gm3d_s3001_bz20.csv
sba,60,rpgm,3001,30,26.6249,app,1754,467,0,0,1.47323,34.5429,1720.51,74.5654,1451.72,18360,18360,1841,1504.4,0,684011,674831,9180,9180,0,98.6579,0,0.404031,9180,0,100,ns-allinone-3.29/ns-3.29/results/security-suppression-pilot/sba_n60_rpgm_s3001_bz0.0/sba_n60_rpgm_s3001_bz0.csv
sba,60,rpgm,3001,30,32.9178,app,1765,581,0,0,6.35972,44.6293,1697.69,74.5931,1124.72,18846,18846,1840,1505.87,0.2,703224,692783,10441,9423,0,98.5153,0,0.350738,9423,0,100,ns-allinone-3.29/ns-3.29/results/security-suppression-pilot/sba_n60_rpgm_s3001_bz0.2/sba_n60_rpgm_s3001_bz20.csv
