protocol,nUavs,mobility,byzFraction,nRuns,seeds,pdr_mean,pdr_sd,pdr_ci95,pdr_n,avgDelay_mean,avgDelay_sd,avgDelay_ci95,avgDelay_n,throughput_mean,throughput_sd,throughput_ci95,throughput_n,avgAoI_mean,avgAoI_sd,avgAoI_ci95,avgAoI_n,ctrlOverhead_mean,ctrlOverhead_sd,ctrlOverhead_ci95,ctrlOverhead_n,energyPerBit_mean,energyPerBit_sd,energyPerBit_ci95,energyPerBit_n,brr_mean,brr_sd,brr_ci95,brr_n,broadcasts_mean,broadcasts_sd,broadcasts_ci95,broadcasts_n,suppressed_mean,suppressed_sd,suppressed_ci95,suppressed_n,totalEnergy_mean,totalEnergy_sd,totalEnergy_ci95,totalEnergy_n,redundancyRatio_mean,redundancyRatio_sd,redundancyRatio_ci95,redundancyRatio_n,savedRebroadcastRatio_mean,savedRebroadcastRatio_sd,savedRebroadcastRatio_ci95,savedRebroadcastRatio_n,broadcastPathLength_mean,broadcastPathLength_sd,broadcastPathLength_ci95,broadcastPathLength_n,emergencyNonSuppressionRate_mean,emergencyNonSuppressionRate_sd,emergencyNonSuppressionRate_ci95,emergencyNonSuppressionRate_n,dataReceptions_mean,dataReceptions_sd,dataReceptions_ci95,dataReceptions_n,duplicateReceptions_mean,duplicateReceptions_sd,duplicateReceptions_ci95,duplicateReceptions_n,rebroadcasts_mean,rebroadcasts_sd,rebroadcasts_ci95,rebroadcasts_n,rebroadcastSuppressions_mean,rebroadcastSuppressions_sd,rebroadcastSuppressions_ci95,rebroadcastSuppressions_n
astro,60,gm3d,0,1,3001,28.790500,,,1,1.017750,,,1,38.007500,,,1,1718.480000,,,1,74.397900,,,1,1312.200000,,,1,18366.000000,,,1,18366.000000,,,1,1825.000000,,,1,1496.200000,,,1,98.260300,,,1,0.000000,,,1,0.210389,,,1,100.000000,,,1,527857.000000,,,1,518674.000000,,,1,9183.000000,,,1,0.000000,,,1
astro,60,gm3d,0.2,1,3001,26.811200,,,1,0.878723,,,1,33.006900,,,1,1978.370000,,,1,74.686800,,,1,1511.120000,,,1,18650.000000,,,1,18650.000000,,,1,1825.000000,,,1,1496.320000,,,1,98.089300,,,1,0.000000,,,1,0.209544,,,1,100.000000,,,1,540116.000000,,,1,529796.000000,,,1,9325.000000,,,1,0.000000,,,1
astro,60,rpgm,0,1,3001,24.173300,,,1,7.575470,,,1,30.208000,,,1,1877.460000,,,1,74.565400,,,1,1655.630000,,,1,18360.000000,,,1,18360.000000,,,1,1841.000000,,,1,1500.400000,,,1,98.472100,,,1,0.000000,,,1,0.376035,,,1,100.000000,,,1,600839.000000,,,1,591659.000000,,,1,9180.000000,,,1,0.000000,,,1
astro,60,rpgm,0.2,1,3001,23.831800,,,1,1.129900,,,1,28.637900,,,1,2206.260000,,,1,75.290900,,,1,1746.330000,,,1,15890.000000,,,1,15890.000000,,,1,1841.000000,,,1,1500.330000,,,1,98.514400,,,1,0.000000,,,1,0.375079,,,1,100.000000,,,1,594037.000000,,,1,585212.000000,,,1,7945.000000,,,1,0.000000,,,1
cb,60,gm3d,0,1,3001,38.784800,,,1,0.850659,,,1,55.040000,,,1,1384.300000,,,1,74.397900,,,1,905.734000,,,1,2500.000000,,,1,2500.000000,,,1,9875.000000,,,1,1495.550000,,,1,98.009400,,,1,86.559100,,,1,0.172000,,,1,13.440900,,,1,467197.000000,,,1,457897.000000,,,1,1250.000000,,,1,8050.000000,,,1
cb,60,gm3d,0.2,1,3001,49.258000,,,1,0.906141,,,1,69.376000,,,1,1253.870000,,,1,74.857800,,,1,719.108000,,,1,2708.000000,,,1,2708.000000,,,1,10122.000000,,,1,1496.660000,,,1,97.746800,,,1,85.970400,,,1,0.166174,,,1,14.029600,,,1,473999.000000,,,1,463319.000000,,,1,1354.000000,,,1,8297.000000,,,1
cb,60,rpgm,0,1,3001,28.962400,,,1,0.653543,,,1,38.434100,,,1,1540.120000,,,1,74.565400,,,1,1300.630000,,,1,2550.000000,,,1,2550.000000,,,1,9806.000000,,,1,1499.660000,,,1,98.285500,,,1,86.201300,,,1,0.363137,,,1,13.798700,,,1,538926.000000,,,1,529686.000000,,,1,1275.000000,,,1,7965.000000,,,1
cb,60,rpgm,0.2,1,3001,30.571400,,,1,4.171960,,,1,38.690100,,,1,1619.900000,,,1,74.789300,,,1,1292.290000,,,1,2780.000000,,,1,2780.000000,,,1,9931.000000,,,1,1499.970000,,,1,98.075100,,,1,85.337600,,,1,0.342446,,,1,14.662400,,,1,545599.000000,,,1,535097.000000,,,1,1390.000000,,,1,8090.000000,,,1
pr,60,gm3d,0,1,3001,28.847200,,,1,0.663386,,,1,40.567500,,,1,1606.650000,,,1,74.397900,,,1,1229.270000,,,1,11104.000000,,,1,11104.000000,,,1,5514.000000,,,1,1496.050000,,,1,98.214200,,,1,39.919900,,,1,0.189841,,,1,60.080100,,,1,517459.000000,,,1,508218.000000,,,1,5552.000000,,,1,3689.000000,,,1
pr,60,gm3d,0.2,1,3001,36.577000,,,1,0.917058,,,1,49.254400,,,1,1615.200000,,,1,74.859900,,,1,1013.220000,,,1,11630.000000,,,1,11630.000000,,,1,5659.000000,,,1,1497.160000,,,1,97.986600,,,1,39.734700,,,1,0.211350,,,1,60.265300,,,1,530498.000000,,,1,519817.000000,,,1,5815.000000,,,1,3834.000000,,,1
