protocol,nUavs,mobility,nRuns,seeds,pdr_mean,pdr_sd,pdr_ci95,pdr_n,avgDelay_mean,avgDelay_sd,avgDelay_ci95,avgDelay_n,throughput_mean,throughput_sd,throughput_ci95,throughput_n,avgAoI_mean,avgAoI_sd,avgAoI_ci95,avgAoI_n,ctrlOverhead_mean,ctrlOverhead_sd,ctrlOverhead_ci95,ctrlOverhead_n,energyPerBit_mean,energyPerBit_sd,energyPerBit_ci95,energyPerBit_n,brr_mean,brr_sd,brr_ci95,brr_n,broadcasts_mean,broadcasts_sd,broadcasts_ci95,broadcasts_n,suppressed_mean,suppressed_sd,suppressed_ci95,suppressed_n,totalEnergy_mean,totalEnergy_sd,totalEnergy_ci95,totalEnergy_n,redundancyRatio_mean,redundancyRatio_sd,redundancyRatio_ci95,redundancyRatio_n,savedRebroadcastRatio_mean,savedRebroadcastRatio_sd,savedRebroadcastRatio_ci95,savedRebroadcastRatio_n,broadcastPathLength_mean,broadcastPathLength_sd,broadcastPathLength_ci95,broadcastPathLength_n,emergencyNonSuppressionRate_mean,emergencyNonSuppressionRate_sd,emergencyNonSuppressionRate_ci95,emergencyNonSuppressionRate_n,dataReceptions_mean,dataReceptions_sd,dataReceptions_ci95,dataReceptions_n,duplicateReceptions_mean,duplicateReceptions_sd,duplicateReceptions_ci95,duplicateReceptions_n,rebroadcasts_mean,rebroadcasts_sd,rebroadcasts_ci95,rebroadcasts_n,rebroadcastSuppressions_mean,rebroadcastSuppressions_sd,rebroadcastSuppressions_ci95,rebroadcastSuppressions_n
astro,10,gm3d,5,3001;3002;3003;3004;3005,70.260040,22.713450,28.197952,5,3.910084,5.608629,6.962916,5,16.356700,5.796392,7.196018,5,1103.083200,123.239737,152.997813,5,75.625720,0.975691,1.211286,5,566.486200,235.757186,292.684281,5,480.000000,67.823300,84.200249,5,480.000000,67.823300,84.200249,5,337.800000,5.310367,6.592635,5,246.744600,0.060822,0.075508,5,98.565620,0.181068,0.224790,5,0.000000,0.000000,0.000000,5,0.689863,0.117247,0.145558,5,100.000000,0.000000,0.000000,5,16705.600000,282.904224,351.215676,5,16465.600000,251.345977,312.037218,5,240.000000,33.911650,42.100124,5,0.000000,0.000000,0.000000,5
astro,10,rpgm,5,3001;3002;3003;3004;3005,56.053660,24.577266,30.511814,5,0.193929,0.110029,0.136597,5,13.110606,6.951769,8.630377,5,1813.016000,1531.670566,1901.515310,5,75.092540,1.121288,1.392039,5,1622.799600,2459.820633,3053.781077,5,632.400000,120.866869,150.051980,5,632.400000,120.866869,150.051980,5,335.400000,3.974921,4.934726,5,246.733400,0.066282,0.082287,5,98.185100,0.294081,0.365092,5,0.000000,0.000000,0.000000,5,0.409730,0.133835,0.166151,5,100.000000,0.000000,0.000000,5,17361.200000,488.562381,606.533067,5,17045.000000,429.586429,533.316491,5,316.200000,60.433434,75.025990,5,0.000000,0.000000,0.000000,5
astro,20,gm3d,5,3001;3002;3003;3004;3005,40.479780,4.868417,6.043969,5,0.353996,0.081027,0.100592,5,17.575260,3.241415,4.024104,5,1469.432000,68.806226,85.420517,5,75.776020,0.862929,1.071296,5,960.027200,145.465077,180.589793,5,1992.000000,91.214034,113.239025,5,1992.000000,91.214034,113.239025,5,643.200000,6.058052,7.520860,5,494.895600,0.278313,0.345516,5,98.523580,0.054804,0.068037,5,0.000000,0.000000,0.000000,5,0.653372,0.154897,0.192299,5,100.000000,0.000000,0.000000,5,67558.000000,4338.932645,5386.632761,5,66562.000000,4300.894849,5339.410170,5,996.000000,45.607017,56.619513,5,0.000000,0.000000,0.000000,5
astro,20,rpgm,5,3001;3002;3003;3004;3005,72.269740,22.894444,28.422649,5,13.887715,26.323387,32.679562,5,35.075420,13.278379,16.484642,5,1142.033600,208.026635,258.257774,5,74.865300,0.867196,1.076594,5,525.085400,181.029668,224.741986,5,2481.600000,277.439723,344.431690,5,2481.600000,277.439723,344.431690,5,635.400000,9.864076,12.245905,5,495.449200,0.674584,0.837473,5,98.098680,0.211719,0.262841,5,0.000000,0.000000,0.000000,5,0.420533,0.181864,0.225778,5,100.000000,0.000000,0.000000,5,65361.000000,4330.721476,5376.438882,5,64120.200000,4281.467704,5315.292051,5,1240.800000,138.719862,172.215845,5,0.000000,0.000000,0.000000,5
cb,10,gm3d,5,3001;3002;3003;3004;3005,73.688960,23.187978,28.787061,5,5.517219,11.736040,14.569882,5,17.295360,5.929765,7.361596,5,1078.771400,119.164310,147.938313,5,75.625720,0.975691,1.211286,5,540.412800,245.099250,304.282126,5,117.600000,17.854971,22.166321,5,117.600000,17.854971,22.166321,5,519.000000,25.268558,31.370028,5,246.716400,0.065596,0.081435,5,98.487420,0.203154,0.252209,5,75.504020,1.585365,1.968175,5,0.931370,0.256602,0.318563,5,24.495980,1.585365,1.968175,5,15854.400000,115.712143,143.652569,5,15614.400000,82.275756,102.142466,5,58.800000,8.927486,11.083160,5,181.200000,25.878563,32.127328,5
cb,10,rpgm,5,3001;3002;3003;3004;3005,67.467020,29.197334,36.247467,5,1.460498,2.786520,3.459367,5,16.182600,7.894681,9.800970,5,1395.021000,687.719464,853.779604,5,75.092540,1.121288,1.392039,5,755.521000,692.177122,859.313631,5,147.600000,32.074912,39.819879,5,147.600000,32.074912,39.819879,5,579.600000,46.247162,57.414230,5,246.701800,0.076175,0.094569,5,98.034200,0.353391,0.438723,5,76.846040,1.219568,1.514050,5,0.649414,0.164763,0.204547,5,23.153960,1.219568,1.514050,5,16141.800000,244.584750,303.643392,5,15823.800000,182.900793,227.064922,5,73.800000,16.037456,19.909940,5,244.200000,46.724726,58.007109,5
cb,20,gm3d,5,3001;3002;3003;3004;3005,52.921300,13.782852,17.110927,5,0.374339,0.114190,0.141763,5,23.497400,7.515239,9.329905,5,1342.006000,162.699061,201.985180,5,75.776020,0.862929,1.071296,5,762.942000,247.671022,307.474891,5,319.200000,21.194339,26.312029,5,319.200000,21.194339,26.312029,5,1479.600000,37.326934,46.340080,5,494.773000,0.178544,0.221656,5,98.376780,0.067624,0.083953,5,83.968660,0.927476,1.151429,5,0.614748,0.173657,0.215589,5,16.031340,0.927476,1.151429,5,61468.200000,4149.053470,5150.904422,5,60472.200000,4112.212628,5105.167808,5,159.600000,10.597169,13.156014,5,836.400000,41.428251,51.431721,5
cb,20,rpgm,5,3001;3002;3003;3004;3005,76.729640,19.359512,24.034155,5,10.758218,16.888860,20.966928,5,37.225820,10.574317,13.127644,5,1084.307400,151.480474,188.057697,5,74.865300,0.867196,1.076594,5,475.658200,143.374638,177.994587,5,401.200000,47.782842,59.320723,5,401.200000,47.782842,59.320723,5,1681.400000,121.892576,151.325359,5,495.205400,0.589362,0.731672,5,97.847920,0.253974,0.315300,5,83.863760,0.960468,1.192387,5,0.550825,0.110121,0.136711,5,16.136240,0.960468,1.192387,5,57934.000000,3735.436052,4637.412899,5,56690.000000,3705.322186,4600.027589,5,200.600000,23.891421,29.660362,5,1043.400000,116.990598,145.239726,5
pr,10,gm3d,5,3001;3002;3003;3004;3005,70.750260,23.124643,28.708433,5,8.645353,14.343180,17.806555,5,16.482980,5.911643,7.339098,5,1100.264400,153.533213,190.606101,5,75.625720,0.975691,1.211286,5,566.809400,244.553453,303.604538,5,274.400000,54.173794,67.254866,5,274.400000,54.173794,67.254866,5,438.800000,11.166915,13.863334,5,246.730400,0.062055,0.077039,5,98.540580,0.202114,0.250917,5,42.715260,3.485043,4.326558,5,0.644652,0.139014,0.172581,5,57.284740,3.485043,4.326558,5,16297.400000,226.791314,281.553465,5,16059.200000,192.098152,238.483121,5,137.200000,27.086897,33.627433,5,101.000000,10.747093,13.342139,5
pr,10,rpgm,5,3001;3002;3003;3004;3005,65.571040,29.516690,36.643936,5,0.214957,0.092365,0.114668,5,15.786660,7.675108,9.528377,5,1384.955400,687.175982,853.104889,5,75.092540,1.121288,1.392039,5,768.669600,688.461263,854.700521,5,363.200000,59.390235,73.730894,5,363.200000,59.390235,73.730894,5,469.000000,30.166206,37.450287,5,246.732000,0.095499,0.118558,5,98.118840,0.318034,0.394828,5,42.162200,2.012148,2.498011,5,0.394437,0.168148,0.208750,5,57.837800,2.012148,2.498011,5,16713.600000,315.070310,391.148743,5,16398.400000,256.529336,318.472176,5,181.600000,29.695117,36.865447,5,133.600000,30.295214,37.610446,5
pr,20,gm3d,5,3001;3002;3003;3004;3005,69.082000,14.390819,17.865698,5,0.487493,0.148927,0.184888,5,31.849820,7.651071,9.498536,5,1150.210000,188.147033,233.577945,5,75.776020,0.862929,1.071296,5,545.735400,144.165317,178.976187,5,1180.000000,56.053546,69.588512,5,1180.000000,56.053546,69.588512,5,1045.800000,21.764650,27.020050,5,495.108600,0.278334,0.345542,5,98.475960,0.066803,0.082933,5,40.550920,1.199129,1.488677,5,0.608844,0.129842,0.161194,5,59.449080,1.199129,1.488677,5,65231.400000,4191.633429,5203.765948,5,64238.800000,4156.425050,5160.055980,5,590.000000,28.026773,34.794256,5,402.600000,24.774987,30.757278,5
pr,20,rpgm,5,3001;3002;3003;3004;3005,71.483720,18.319825,22.743421,5,10.383452,17.384859,21.582693,5,34.751140,11.208789,13.915318,5,1144.183200,264.697370,328.612505,5,74.865300,0.867196,1.076594,5,521.034600,179.567141,222.926311,5,1464.000000,174.453432,216.577820,5,1464.000000,174.453432,216.577820,5,1150.000000,66.884228,83.034425,5,495.339200,0.550835,0.683842,5,98.021740,0.223691,0.277704,5,41.023500,1.501446,1.863992,5,0.427643,0.132415,0.164388,5,58.976500,1.501446,1.863992,5,62828.200000,4168.616761,5175.191562,5,61587.400000,4122.565864,5118.020987,5,732.000000,87.226716,108.288910,5,508.800000,57.233731,71.053671,5
sba,10,gm3d,5,3001;3002;3003;3004;3005,68.798200,23.221826,28.829082,5,2.154075,2.630980,3.266269,5,15.964140,5.522725,6.856270,5,1113.460400,113.535518,140.950366,5,75.625720,0.975691,1.211286,5,576.523000,231.489138,287.385649,5,478.400000,67.976467,84.390400,5,478.400000,67.976467,84.390400,5,338.600000,4.929503,6.119805,5,246.746400,0.071013,0.088160,5,98.569360,0.178799,0.221973,5,0.343590,0.201226,0.249815,5,0.660010,0.100403,0.124647,5,99.656420,0.201226,0.249815,5,16747.600000,289.605421,359.534977,5,16507.600000,256.663788,318.639094,5,239.200000,33.988233,42.195200,5,0.800000,0.447214,0.555200,5
sba,10,rpgm,5,3001;3002;3003;3004;3005,62.662500,28.536130,35.426605,5,0.215211,0.123291,0.153061,5,14.776306,7.966131,9.889672,5,1779.500000,1549.605614,1923.781042,5,75.092540,1.121288,1.392039,5,1575.985400,2486.565084,3086.983376,5,634.800000,123.649505,153.506525,5,634.800000,123.649505,153.506525,5,336.000000,3.807887,4.727358,5,246.762600,0.059345,0.073674,5,98.191040,0.297138,0.368886,5,0.175483,0.165171,0.205054,5,0.415266,0.116356,0.144451,5,99.824520,0.165164,0.205045,5,17510.400000,529.551980,657.420218,5,17192.400000,467.876373,580.852113,5,317.400000,61.824752,76.753263,5,0.600000,0.547723,0.679978,5
sba,20,gm3d,5,3001;3002;3003;3004;3005,44.834120,5.325599,6.611545,5,0.454417,0.192930,0.239516,5,19.640320,3.175927,3.942802,5,1401.458000,136.271770,169.176625,5,75.776020,0.862929,1.071296,5,857.178800,133.454297,165.678831,5,1983.200000,96.794628,120.167137,5,1983.200000,96.794628,120.167137,5,643.600000,6.107373,7.582089,5,494.960000,0.237592,0.294962,5,98.528540,0.057502,0.071387,5,0.041242,0.056477,0.070115,5,0.647109,0.162109,0.201253,5,99.958760,0.056476,0.070112,5,67508.600000,4337.689281,5385.089168,5,66516.600000,4298.804055,5336.814523,5,991.600000,48.397314,60.083569,5,0.400000,0.547723,0.679978,5
sba,20,rpgm,5,3001;3002;3003;3004;3005,73.609680,18.175019,22.563649,5,2.831323,3.159767,3.922741,5,35.184620,9.551420,11.857753,5,1087.537600,116.177545,144.230349,5,74.865300,0.867196,1.076594,5,501.068200,149.186494,185.209802,5,2464.000000,267.917898,332.610677,5,2464.000000,267.917898,332.610677,5,638.800000,7.259477,9.012386,5,495.533200,0.705544,0.875908,5,98.147620,0.170754,0.211986,5,0.064706,0.037188,0.046168,5,0.399770,0.164206,0.203855,5,99.935320,0.037172,0.046148,5,66575.600000,4402.047115,5464.987162,5,65342.800000,4326.804502,5371.576096,5,1232.000000,133.958949,166.305339,5,0.800000,0.447214,0.555200,5
sf,10,gm3d,5,3001;3002;3003;3004;3005,70.260040,22.713450,28.197952,5,3.910084,5.608629,6.962916,5,16.356700,5.796392,7.196018,5,1103.083200,123.239737,152.997813,5,75.625720,0.975691,1.211286,5,566.486200,235.757186,292.684281,5,480.000000,67.823300,84.200249,5,480.000000,67.823300,84.200249,5,337.800000,5.310367,6.592635,5,246.744600,0.060822,0.075508,5,98.565620,0.181068,0.224790,5,0.000000,0.000000,0.000000,5,0.689863,0.117247,0.145558,5,100.000000,0.000000,0.000000,5,16705.600000,282.904224,351.215676,5,16465.600000,251.345977,312.037218,5,240.000000,33.911650,42.100124,5,0.000000,0.000000,0.000000,5
sf,10,rpgm,5,3001;3002;3003;3004;3005,56.053660,24.577266,30.511814,5,0.193929,0.110029,0.136597,5,13.110606,6.951769,8.630377,5,1813.016000,1531.670566,1901.515310,5,75.092540,1.121288,1.392039,5,1622.799600,2459.820633,3053.781077,5,632.400000,120.866869,150.051980,5,632.400000,120.866869,150.051980,5,335.400000,3.974921,4.934726,5,246.733400,0.066282,0.082287,5,98.185100,0.294081,0.365092,5,0.000000,0.000000,0.000000,5,0.409730,0.133835,0.166151,5,100.000000,0.000000,0.000000,5,17361.200000,488.562381,606.533067,5,17045.000000,429.586429,533.316491,5,316.200000,60.433434,75.025990,5,0.000000,0.000000,0.000000,5
sf,20,gm3d,5,3001;3002;3003;3004;3005,40.479780,4.868417,6.043969,5,0.353996,0.081027,0.100592,5,17.575260,3.241415,4.024104,5,1469.432000,68.806226,85.420517,5,75.776020,0.862929,1.071296,5,960.027200,145.465077,180.589793,5,1992.000000,91.214034,113.239025,5,1992.000000,91.214034,113.239025,5,643.200000,6.058052,7.520860,5,494.895600,0.278313,0.345516,5,98.523580,0.054804,0.068037,5,0.000000,0.000000,0.000000,5,0.653372,0.154897,0.192299,5,100.000000,0.000000,0.000000,5,67558.000000,4338.932645,5386.632761,5,66562.000000,4300.894849,5339.410170,5,996.000000,45.607017,56.619513,5,0.000000,0.000000,0.000000,5
sf,20,rpgm,5,3001;3002;3003;3004;3005,72.269740,22.894444,28.422649,5,13.887715,26.323387,32.679562,5,35.075420,13.278379,16.484642,5,1142.033600,208.026635,258.257774,5,74.865300,0.867196,1.076594,5,525.085400,181.029668,224.741986,5,2481.600000,277.439723,344.431690,5,2481.600000,277.439723,344.431690,5,635.400000,9.864076,12.245905,5,495.449200,0.674584,0.837473,5,98.098680,0.211719,0.262841,5,0.000000,0.000000,0.000000,5,0.420533,0.181864,0.225778,5,100.000000,0.000000,0.000000,5,65361.000000,4330.721476,5376.438882,5,64120.200000,4281.467704,5315.292051,5,1240.800000,138.719862,172.215845,5,0.000000,0.000000,0.000000,5
